wall_time,local_time,x,y,route_progress_m,cross_track_m,signed_cross_track_m,heading_error_vs_csv_yaw_deg,odom_stamp_age_ms
1784986257.371301,2026-07-25T21:30:57.371+08:00,4.057032,0.228892,4.080309,0.031648,0.031648,0.202644,375.160
1784986257.521331,2026-07-25T21:30:57.521+08:00,4.107413,0.224075,4.129889,0.022771,0.022771,0.102752,425.844
1784986257.621188,2026-07-25T21:30:57.621+08:00,4.157550,0.216232,4.179348,0.011412,0.011412,0.125971,426.341
1784986257.921270,2026-07-25T21:30:57.921+08:00,4.374617,0.213166,4.395659,0.006952,-0.006952,1.113071,328.791
1784986258.071347,2026-07-25T21:30:58.071+08:00,4.419307,0.227872,4.441274,0.004567,0.004567,1.044494,379.448
1784986258.172558,2026-07-25T21:30:58.172+08:00,4.469410,0.244493,4.492424,0.017613,0.017613,0.851260,381.299
1784986258.271261,2026-07-25T21:30:58.271+08:00,4.516911,0.252780,4.540392,0.022530,0.022530,0.759220,380.598
1784986258.371083,2026-07-25T21:30:58.371+08:00,4.562428,0.268038,4.586872,0.034541,0.034541,1.070655,381.104
1784986258.521113,2026-07-25T21:30:58.521+08:00,4.613138,0.274383,4.637847,0.037367,0.037367,1.619937,431.730
1784986258.571160,2026-07-25T21:30:58.571+08:00,4.708259,0.285062,4.733478,0.041455,0.041455,2.351267,283.057
1784986258.721359,2026-07-25T21:30:58.721+08:00,4.767387,0.280384,4.792142,0.032707,0.032707,2.395250,333.896
1784986258.821115,2026-07-25T21:30:58.821+08:00,4.813807,0.275588,4.838120,0.024718,0.024718,2.704806,334.321
1784986258.921378,2026-07-25T21:30:58.921+08:00,4.860236,0.271317,4.884144,0.017252,0.017252,2.588564,335.210
1784986259.021319,2026-07-25T21:30:59.021+08:00,4.901395,0.262894,4.924623,0.006009,0.006009,3.064223,335.776
1784986259.171160,2026-07-25T21:30:59.171+08:00,4.946597,0.253782,4.969089,0.006202,-0.006202,3.349776,386.257
1784986259.321280,2026-07-25T21:30:59.321+08:00,5.006619,0.247563,5.028538,0.016549,-0.016549,3.779281,437.017
1784986259.471281,2026-07-25T21:30:59.471+08:00,5.098573,0.234115,5.126010,0.025412,-0.025412,3.443576,388.401
1784986259.621345,2026-07-25T21:30:59.621+08:00,5.151327,0.235427,5.178012,0.016436,-0.016436,2.515258,439.046
1784986259.721134,2026-07-25T21:30:59.721+08:00,5.246318,0.229418,5.272865,0.008554,-0.008554,0.541151,340.071
1784986259.821250,2026-07-25T21:30:59.821+08:00,5.293152,0.232721,5.318720,0.001531,0.001531,0.172516,340.827
1784986259.921257,2026-07-25T21:30:59.921+08:00,5.344839,0.235357,5.369473,0.011663,0.011663,0.726125,341.473
1784986260.021229,2026-07-25T21:31:00.021+08:00,5.390105,0.239799,5.413610,0.022647,0.022647,1.725524,343.209
1784986260.121211,2026-07-25T21:31:00.121+08:00,5.442047,0.247934,5.463815,0.038256,0.038256,2.203472,343.713
1784986260.221249,2026-07-25T21:31:00.221+08:00,5.495329,0.254471,5.522553,0.052289,0.052289,3.222803,344.391
