

===== 2026-05-17T03:51:54.672134 start unitree_cmd_node =====
[INFO] [1778961116.512089920] [unitree_cmd_node]: unitree_cmd_node ACTIVE: /patrol_cmd -> /api/sport/request
[INFO] [1778961116.512809888] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1778961129.793448192] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.001
[INFO] [1778961129.843931328] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.001
[INFO] [1778961129.894175584] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.001
[INFO] [1778961129.943980896] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.001
[INFO] [1778961129.993928768] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.014
[INFO] [1778961130.043857280] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.014
[INFO] [1778961130.093863520] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.015
[INFO] [1778961130.143641344] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.015
[INFO] [1778961130.193558976] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.019
[INFO] [1778961130.243464672] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.019
[INFO] [1778961130.293446496] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.020
[INFO] [1778961130.343497984] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.020
[INFO] [1778961130.393532256] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.019
[INFO] [1778961130.444905280] [unitree_cmd_node]: Move x=0.350, y=0.000, z=-0.019
[INFO] [1778961130.493768864] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961130.543770656] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.020
[INFO] [1778961130.593779136] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961130.643945952] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.033
[INFO] [1778961130.693698720] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.030
[INFO] [1778961130.744229504] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.030
[INFO] [1778961130.793780256] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
[INFO] [1778961130.843665248] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
[INFO] [1778961130.893437280] [unitree_cmd_node]: Move x=0.350, y=0.000, z=0.026
