1784988380.339752 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
CALIBRATING samples=0/15 dropped_cloud_frames=0 rejected_motion=0 rejected_source=0
LEVEL_FRAME_READY samples=15 tilt_deg=34.324048 spread_deg=0.757724 source_disagreement_deg=0.912658
POINTS 620307 FRAMES 1351/4070 LEVEL_TILT_DEG 34.324048
POINTS 625053 FRAMES 1358/4089 LEVEL_TILT_DEG 34.324048
POINTS 629201 FRAMES 1364/4109 LEVEL_TILT_DEG 34.324048
POINTS 634016 FRAMES 1371/4129 LEVEL_TILT_DEG 34.324048
POINTS 632099 FRAMES 1374/4138 LEVEL_TILT_DEG 34.324048
POINTS 636615 FRAMES 1381/4159 LEVEL_TILT_DEG 34.324048
POINTS 639938 FRAMES 1387/4178 LEVEL_TILT_DEG 34.324048
POINTS 643668 FRAMES 1394/4198 LEVEL_TILT_DEG 34.324048
POINTS 647319 FRAMES 1401/4219 LEVEL_TILT_DEG 34.324048
POINTS 650399 FRAMES 1407/4238 LEVEL_TILT_DEG 34.324048
POINTS 653836 FRAMES 1414/4259 LEVEL_TILT_DEG 34.324048
POINTS 657145 FRAMES 1421/4278 LEVEL_TILT_DEG 34.324048
POINTS 659885 FRAMES 1427/4298 LEVEL_TILT_DEG 34.324048
POINTS 659509 FRAMES 1434/4317 LEVEL_TILT_DEG 34.324048
POINTS 662180 FRAMES 1440/4336 LEVEL_TILT_DEG 34.324048
POINTS 665401 FRAMES 1447/4356 LEVEL_TILT_DEG 34.324048
POINTS 668262 FRAMES 1453/4374 LEVEL_TILT_DEG 34.324048
POINTS 671684 FRAMES 1460/4395 LEVEL_TILT_DEG 34.324048
POINTS 674650 FRAMES 1466/4414 LEVEL_TILT_DEG 34.324048
POINTS 678085 FRAMES 1473/4435 LEVEL_TILT_DEG 34.324048
POINTS 681507 FRAMES 1480/4455 LEVEL_TILT_DEG 34.324048
POINTS 684477 FRAMES 1486/4473 LEVEL_TILT_DEG 34.324048
POINTS 687347 FRAMES 1492/4492 LEVEL_TILT_DEG 34.324048
POINTS 685415 FRAMES 1495/4500 LEVEL_TILT_DEG 34.324048
POINTS 688347 FRAMES 1501/4520 LEVEL_TILT_DEG 34.324048
POINTS 691880 FRAMES 1508/4540 LEVEL_TILT_DEG 34.324048
POINTS 695498 FRAMES 1515/4560 LEVEL_TILT_DEG 34.324048
POINTS 699118 FRAMES 1522/4581 LEVEL_TILT_DEG 34.324048
POINTS 702208 FRAMES 1528/4601 LEVEL_TILT_DEG 34.324048
POINTS 705738 FRAMES 1535/4620 LEVEL_TILT_DEG 34.324048
POINTS 708776 FRAMES 1541/4640 LEVEL_TILT_DEG 34.324048
POINTS 712359 FRAMES 1548/4660 LEVEL_TILT_DEG 34.324048
POINTS 716051 FRAMES 1555/4680 LEVEL_TILT_DEG 34.324048
POINTS 713639 FRAMES 1557/4687 LEVEL_TILT_DEG 34.324048
POINTS 717333 FRAMES 1564/4708 LEVEL_TILT_DEG 34.324048
POINTS 720548 FRAMES 1570/4727 LEVEL_TILT_DEG 34.324048
POINTS 724269 FRAMES 1577/4747 LEVEL_TILT_DEG 34.324048
POINTS 728027 FRAMES 1584/4768 LEVEL_TILT_DEG 34.324048
POINTS 731423 FRAMES 1590/4787 LEVEL_TILT_DEG 34.324048
POINTS 735365 FRAMES 1597/4807 LEVEL_TILT_DEG 34.324048
POINTS 739284 FRAMES 1604/4827 LEVEL_TILT_DEG 34.324048
POINTS 742608 FRAMES 1610/4846 LEVEL_TILT_DEG 34.324048
POINTS 742477 FRAMES 1616/4863 LEVEL_TILT_DEG 34.324048
POINTS 746641 FRAMES 1622/4881 LEVEL_TILT_DEG 34.324048
POINTS 751148 FRAMES 1628/4900 LEVEL_TILT_DEG 34.324048
POINTS 756477 FRAMES 1635/4920 LEVEL_TILT_DEG 34.324048
POINTS 761255 FRAMES 1641/4940 LEVEL_TILT_DEG 34.324048
POINTS 766626 FRAMES 1648/4960 LEVEL_TILT_DEG 34.324048
POINTS 772091 FRAMES 1655/4981 LEVEL_TILT_DEG 34.324048
POINTS 777583 FRAMES 1662/5001 LEVEL_TILT_DEG 34.324048
POINTS 781577 FRAMES 1667/5018 LEVEL_TILT_DEG 34.324048
POINTS 787370 FRAMES 1674/5039 LEVEL_TILT_DEG 34.324048
POINTS 786058 FRAMES 1677/5046 LEVEL_TILT_DEG 34.324048
POINTS 790989 FRAMES 1683/5066 LEVEL_TILT_DEG 34.324048
POINTS 796744 FRAMES 1690/5086 LEVEL_TILT_DEG 34.324048
POINTS 801775 FRAMES 1696/5105 LEVEL_TILT_DEG 34.324048
POINTS 807802 FRAMES 1703/5125 LEVEL_TILT_DEG 34.324048
POINTS 813891 FRAMES 1710/5146 LEVEL_TILT_DEG 34.324048
POINTS 818919 FRAMES 1716/5165 LEVEL_TILT_DEG 34.324048
POINTS 824922 FRAMES 1723/5186 LEVEL_TILT_DEG 34.324048
POINTS 830987 FRAMES 1730/5205 LEVEL_TILT_DEG 34.324048
POINTS 830665 FRAMES 1736/5224 LEVEL_TILT_DEG 34.324048
POINTS 835625 FRAMES 1743/5245 LEVEL_TILT_DEG 34.324048
POINTS 839815 FRAMES 1749/5264 LEVEL_TILT_DEG 34.324048
POINTS 844354 FRAMES 1756/5284 LEVEL_TILT_DEG 34.324048
POINTS 848626 FRAMES 1763/5304 LEVEL_TILT_DEG 34.324048
POINTS 852821 FRAMES 1770/5325 LEVEL_TILT_DEG 34.324048
POINTS 855993 FRAMES 1775/5342 LEVEL_TILT_DEG 34.324048
POINTS 860439 FRAMES 1782/5362 LEVEL_TILT_DEG 34.324048
POINTS 864699 FRAMES 1789/5382 LEVEL_TILT_DEG 34.324048
POINTS 868348 FRAMES 1795/5402 LEVEL_TILT_DEG 34.324048
POINTS 864962 FRAMES 1797/5407 LEVEL_TILT_DEG 34.324048
POINTS 868999 FRAMES 1804/5427 LEVEL_TILT_DEG 34.324048
POINTS 872097 FRAMES 1810/5447 LEVEL_TILT_DEG 34.324048
POINTS 875623 FRAMES 1817/5466 LEVEL_TILT_DEG 34.324048
POINTS 879384 FRAMES 1824/5487 LEVEL_TILT_DEG 34.324048
POINTS 882120 FRAMES 1829/5504 LEVEL_TILT_DEG 34.324048
POINTS 885991 FRAMES 1836/5524 LEVEL_TILT_DEG 34.324048
POINTS 889957 FRAMES 1843/5545 LEVEL_TILT_DEG 34.324048
POINTS 893297 FRAMES 1849/5564 LEVEL_TILT_DEG 34.324048
POINTS 893279 FRAMES 1855/5580 LEVEL_TILT_DEG 34.324048
POINTS 897216 FRAMES 1861/5599 LEVEL_TILT_DEG 34.324048
POINTS 902061 FRAMES 1868/5619 LEVEL_TILT_DEG 34.324048
POINTS 906162 FRAMES 1874/5639 LEVEL_TILT_DEG 34.324048
POINTS 910804 FRAMES 1881/5660 LEVEL_TILT_DEG 34.324048
POINTS 915538 FRAMES 1888/5679 LEVEL_TILT_DEG 34.324048
POINTS 919555 FRAMES 1894/5699 LEVEL_TILT_DEG 34.324048
POINTS 924175 FRAMES 1901/5719 LEVEL_TILT_DEG 34.324048
POINTS 928217 FRAMES 1907/5738 LEVEL_TILT_DEG 34.324048
POINTS 929215 FRAMES 1913/5756 LEVEL_TILT_DEG 34.324048
POINTS 934105 FRAMES 1920/5775 LEVEL_TILT_DEG 34.324048
POINTS 938084 FRAMES 1926/5793 LEVEL_TILT_DEG 34.324048
POINTS 942647 FRAMES 1933/5814 LEVEL_TILT_DEG 34.324048
POINTS 946481 FRAMES 1939/5833 LEVEL_TILT_DEG 34.324048
POINTS 950994 FRAMES 1946/5853 LEVEL_TILT_DEG 34.324048
POINTS 954895 FRAMES 1952/5873 LEVEL_TILT_DEG 34.324048
POINTS 959529 FRAMES 1959/5893 LEVEL_TILT_DEG 34.324048
POINTS 964198 FRAMES 1966/5914 LEVEL_TILT_DEG 34.324048
POINTS 964560 FRAMES 1972/5932 LEVEL_TILT_DEG 34.324048
POINTS 969347 FRAMES 1979/5953 LEVEL_TILT_DEG 34.324048
POINTS 974056 FRAMES 1986/5973 LEVEL_TILT_DEG 34.324048
POINTS 977970 FRAMES 1992/5992 LEVEL_TILT_DEG 34.324048
POINTS 982291 FRAMES 1999/6012 LEVEL_TILT_DEG 34.324048
POINTS 986297 FRAMES 2006/6033 LEVEL_TILT_DEG 34.324048
POINTS 989775 FRAMES 2012/6052 LEVEL_TILT_DEG 34.324048
POINTS 993809 FRAMES 2019/6072 LEVEL_TILT_DEG 34.324048
POINTS 997000 FRAMES 2025/6091 LEVEL_TILT_DEG 34.324048
POINTS 996439 FRAMES 2031/6110 LEVEL_TILT_DEG 34.324048
POINTS 1000018 FRAMES 2038/6130 LEVEL_TILT_DEG 34.324048
POINTS 1004177 FRAMES 2045/6151 LEVEL_TILT_DEG 34.324048
POINTS 1008623 FRAMES 2052/6171 LEVEL_TILT_DEG 34.324048
POINTS 1012562 FRAMES 2058/6191 LEVEL_TILT_DEG 34.324048
POINTS 1017590 FRAMES 2065/6210 LEVEL_TILT_DEG 34.324048
POINTS 1022282 FRAMES 2071/6228 LEVEL_TILT_DEG 34.324048
POINTS 1027117 FRAMES 2077/6248 LEVEL_TILT_DEG 34.324048
POINTS 1032826 FRAMES 2084/6269 LEVEL_TILT_DEG 34.324048
POINTS 1034574 FRAMES 2090/6287 LEVEL_TILT_DEG 34.324048
POINTS 1040400 FRAMES 2097/6307 LEVEL_TILT_DEG 34.324048
POINTS 1045373 FRAMES 2103/6326 LEVEL_TILT_DEG 34.324048
POINTS 1051002 FRAMES 2110/6347 LEVEL_TILT_DEG 34.324048
POINTS 1056588 FRAMES 2117/6366 LEVEL_TILT_DEG 34.324048
POINTS 1061211 FRAMES 2123/6386 LEVEL_TILT_DEG 34.324048
POINTS 1065837 FRAMES 2129/6404 LEVEL_TILT_DEG 34.324048
POINTS 1071298 FRAMES 2136/6425 LEVEL_TILT_DEG 34.324048
POINTS 1076698 FRAMES 2143/6445 LEVEL_TILT_DEG 34.324048
POINTS 1077009 FRAMES 2149/6462 LEVEL_TILT_DEG 34.324048
POINTS 1082367 FRAMES 2156/6483 LEVEL_TILT_DEG 34.324048
POINTS 1086946 FRAMES 2162/6503 LEVEL_TILT_DEG 34.324048
SAVED /home/unitree/go2_fastlio_ws/maps/console/xbf.pcd 1085459 RAW /home/unitree/go2_fastlio_ws/maps/console/raw/xbf.pcd METADATA /home/unitree/go2_fastlio_ws/maps/console/xbf.leveling.json LEVEL_TILT_DEG 34.324048 RESIDUAL_TILT_DEG 0.000000000
