1784813297.794949 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784813298.396142915] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784813298.399350952] [unitree_safe_cmd_node]: cloud safety freshness uses local receive time; message header stamp is diagnostic only, receive_timeout=1.00s
[INFO] [1784813298.402579121] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784813333.738057661] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.30, clear_frames=301, cloud_receive_age=0.040s, cloud_stamp_age=0.131s
[INFO] [1784813334.288396883] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.32, clear_frames=306, cloud_receive_age=0.097s, cloud_stamp_age=0.127s
[INFO] [1784813334.793331278] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.33, clear_frames=312, cloud_receive_age=0.005s, cloud_stamp_age=0.128s
[INFO] [1784813335.338653108] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.212, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.45, clear_frames=317, cloud_receive_age=0.051s, cloud_stamp_age=0.130s
[INFO] [1784813335.888042416] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.150, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.37, clear_frames=323, cloud_receive_age=0.006s, cloud_stamp_age=0.128s
[INFO] [1784813336.388402806] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.41, clear_frames=328, cloud_receive_age=0.010s, cloud_stamp_age=0.128s
[INFO] [1784813336.937978859] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.31, clear_frames=333, cloud_receive_age=0.069s, cloud_stamp_age=0.122s
[INFO] [1784813337.438001884] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.234, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.41, clear_frames=338, cloud_receive_age=0.069s, cloud_stamp_age=0.126s
[INFO] [1784813337.938343444] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.37, clear_frames=343, cloud_receive_age=0.071s, cloud_stamp_age=0.127s
[INFO] [1784813338.438080958] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.33, clear_frames=348, cloud_receive_age=0.076s, cloud_stamp_age=0.125s
[INFO] [1784813338.938330924] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.31, clear_frames=353, cloud_receive_age=0.072s, cloud_stamp_age=0.134s
[INFO] [1784813339.438261789] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.40, clear_frames=358, cloud_receive_age=0.075s, cloud_stamp_age=0.133s
[INFO] [1784813339.938783730] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=1, lateral_count=0, nearest_x=1.50, clear_frames=363, cloud_receive_age=0.081s, cloud_stamp_age=0.130s
[INFO] [1784813340.488093085] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=-0.200, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.31, clear_frames=369, cloud_receive_age=0.035s, cloud_stamp_age=0.129s
[INFO] [1784813341.038479321] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.300, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.36, clear_frames=374, cloud_receive_age=0.094s, cloud_stamp_age=0.123s
[INFO] [1784813341.538223384] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.200, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.33, clear_frames=379, cloud_receive_age=0.094s, cloud_stamp_age=0.127s
