1784731513.788775 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784731514.191919345] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784731514.194194867] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[INFO] [1784731550.703248380] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.44, clear_frames=318
[INFO] [1784731551.253304704] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.36, clear_frames=324
[INFO] [1784731551.803137688] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.39, clear_frames=329
[INFO] [1784731552.303524782] [unitree_safe_cmd_node]: Move x=0.500, y=-0.002, z=-0.002, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.34, clear_frames=334
[INFO] [1784731552.853546709] [unitree_safe_cmd_node]: Move x=0.500, y=-0.006, z=-0.002, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.29, clear_frames=340
[INFO] [1784731553.403630212] [unitree_safe_cmd_node]: Move x=0.500, y=-0.020, z=-0.003, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=345
[INFO] [1784731553.903320225] [unitree_safe_cmd_node]: Move x=0.500, y=-0.021, z=-0.003, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.32, clear_frames=350
[INFO] [1784731554.453055659] [unitree_safe_cmd_node]: Move x=0.500, y=-0.008, z=-0.002, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.41, clear_frames=356
[INFO] [1784731555.003867519] [unitree_safe_cmd_node]: Move x=0.500, y=-0.016, z=-0.003, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.36, clear_frames=361
[INFO] [1784731555.553083706] [unitree_safe_cmd_node]: Move x=0.500, y=-0.022, z=-0.004, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=367
[INFO] [1784731556.053695365] [unitree_safe_cmd_node]: Move x=0.500, y=-0.027, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.36, clear_frames=372
[INFO] [1784731556.603204524] [unitree_safe_cmd_node]: Move x=0.500, y=-0.021, z=-0.003, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.46, clear_frames=377
[INFO] [1784731557.103305530] [unitree_safe_cmd_node]: Move x=0.500, y=-0.030, z=-0.004, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.30, clear_frames=382
[INFO] [1784731557.605694739] [unitree_safe_cmd_node]: Move x=0.500, y=-0.022, z=-0.004, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.48, clear_frames=388
[INFO] [1784731558.152972245] [unitree_safe_cmd_node]: Move x=0.500, y=-0.022, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.29, clear_frames=393
[INFO] [1784731558.703043762] [unitree_safe_cmd_node]: Move x=0.500, y=-0.019, z=-0.003, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=399
[INFO] [1784731559.203155564] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.35, clear_frames=404
[INFO] [1784731559.752826141] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.42, clear_frames=409
[INFO] [1784731560.253297934] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.40, clear_frames=414
[INFO] [1784731560.802928327] [unitree_safe_cmd_node]: Move x=0.500, y=-0.033, z=-0.004, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.34, clear_frames=420
[INFO] [1784731561.303440887] [unitree_safe_cmd_node]: Move x=0.500, y=-0.028, z=-0.004, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.33, clear_frames=425
[INFO] [1784731561.853413164] [unitree_safe_cmd_node]: Move x=0.500, y=-0.023, z=-0.004, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=430
[INFO] [1784731562.404073095] [unitree_safe_cmd_node]: Move x=0.500, y=-0.023, z=-0.004, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.39, clear_frames=436
