run,progress_start_m,progress_end_m,count,signed_median_m,signed_p5_m,signed_p95_m
10_body_yaw_first,45.0,50.0,108,0.08376618125431534,0.06835664141165954,0.10227618547993551
10_body_yaw_first,50.0,55.0,108,0.08167761654958366,0.06298053407006261,0.10045997337049452
10_body_yaw_first,55.0,60.0,114,0.07964829574918886,-0.09014172680654393,0.10280183921951
10_body_yaw_first,60.0,65.0,98,0.07312902447017447,0.026323851811093826,0.11553007057112055
10_body_yaw_first,65.0,70.0,103,0.03738724423623021,0.024332231278127954,0.05153648209662823
10_body_yaw_first,70.0,75.0,100,0.046544915312441704,0.03799525133574561,0.06503130174647279
10_body_yaw_first,75.0,80.0,96,0.045544535443198524,0.020671580517135035,0.06850098972183097
10_body_yaw_first,80.0,85.0,102,0.054523266374296914,0.04354726319821603,0.0661774427984544
10_body_yaw_first,85.0,90.0,100,0.053859871548373975,0.04131202856619354,0.07274992656465676
10_body_yaw_first,90.0,95.0,99,0.059525344244807606,0.03571593594061789,0.08783201887709335
10_body_yaw_first,95.0,100.0,102,0.05655143927470019,0.04391499564002407,0.07812519839934436
10_body_yaw_first,100.0,105.0,100,0.055107015029200124,0.042817889340664855,0.0674953899347639
10_body_yaw_first,105.0,110.0,99,0.04957433920022739,0.03861799661885725,0.06539804011826353
10_body_yaw_first,110.0,115.0,100,0.04640435452941717,0.024553646059172617,0.05848418097990102
10_body_yaw_first,115.0,120.0,99,0.06677899207487345,0.04465528869872093,0.08359785957826732
10_body_yaw_first,120.0,125.0,101,0.07414643283880348,0.052468029727260175,0.09035773378609989
10_body_yaw_first,125.0,130.0,99,0.050724753776517834,0.03836615405407082,0.07532611177227219
10_body_yaw_first,130.0,135.0,98,0.04241096928219366,0.02726688393280175,0.08280922822994546
10_body_yaw_first,135.0,140.0,95,0.05157790790080969,0.03229809761826809,0.06872421141432677
10_body_yaw_first,140.0,145.0,101,0.047327499619800505,0.026819453288376826,0.0827304085929764
10_body_yaw_first,145.0,150.0,98,0.03130769362509728,-0.02165638969271543,0.0939193345041796
10_body_yaw_first,150.0,155.0,112,0.0527252166522044,0.00010346951290717324,0.09436079493607635
