[INFO] [0001202337.207345568] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [0001202337.208416384] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/tju206260710test6-lx.csv
[INFO] [0001202337.209646528] [waypoint_follower]: route points: 178
[INFO] [0001202337.210630048] [waypoint_follower]: loop_mode: pingpong
[INFO] [0001202337.211473696] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [0001202337.212260320] [waypoint_follower]: reach_distance: 0.4
[INFO] [0001202337.401995904] [waypoint_follower]: init nearest_index=0, distance_to_start=0.138
[INFO] [0001202430.876498656] [waypoint_follower]: nearest=37, target=39, dist=0.99, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202431.916864032] [waypoint_follower]: nearest=37, target=39, dist=0.82, alpha=-0.11, vx=0.25, yaw_rate=-0.10, dir=1
[INFO] [0001202432.965235712] [waypoint_follower]: nearest=38, target=40, dist=1.13, alpha=0.08, vx=0.25, yaw_rate=0.07, dir=1
[INFO] [0001202434.014988512] [waypoint_follower]: nearest=38, target=40, dist=0.91, alpha=-0.00, vx=0.25, yaw_rate=-0.00, dir=1
[INFO] [0001202435.014998720] [waypoint_follower]: nearest=39, target=41, dist=1.18, alpha=0.05, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202436.015507008] [waypoint_follower]: nearest=39, target=41, dist=1.01, alpha=0.01, vx=0.25, yaw_rate=0.01, dir=1
[INFO] [0001202437.015397024] [waypoint_follower]: nearest=39, target=41, dist=0.85, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202438.065240288] [waypoint_follower]: nearest=40, target=42, dist=1.07, alpha=0.00, vx=0.25, yaw_rate=0.00, dir=1
[INFO] [0001202439.065323328] [waypoint_follower]: nearest=40, target=42, dist=0.83, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202440.115185216] [waypoint_follower]: nearest=40, target=42, dist=0.71, alpha=-0.05, vx=0.25, yaw_rate=-0.04, dir=1
[INFO] [0001202441.119539968] [waypoint_follower]: nearest=41, target=43, dist=0.94, alpha=0.04, vx=0.25, yaw_rate=0.03, dir=1
[INFO] [0001202442.115400672] [waypoint_follower]: nearest=41, target=43, dist=0.76, alpha=-0.04, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202443.116948896] [waypoint_follower]: nearest=42, target=44, dist=1.02, alpha=0.05, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202444.165302240] [waypoint_follower]: nearest=42, target=44, dist=0.85, alpha=-0.05, vx=0.25, yaw_rate=-0.04, dir=1
[INFO] [0001202445.165298528] [waypoint_follower]: nearest=43, target=45, dist=1.18, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202446.215044416] [waypoint_follower]: nearest=43, target=45, dist=0.98, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202447.215467520] [waypoint_follower]: nearest=44, target=46, dist=1.29, alpha=0.05, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202448.265305184] [waypoint_follower]: nearest=44, target=46, dist=1.11, alpha=-0.02, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202449.315203264] [waypoint_follower]: nearest=44, target=46, dist=0.90, alpha=-0.04, vx=0.25, yaw_rate=-0.04, dir=1
[INFO] [0001202450.365368160] [waypoint_follower]: nearest=45, target=47, dist=1.18, alpha=0.03, vx=0.25, yaw_rate=0.02, dir=1
[INFO] [0001202451.416619936] [waypoint_follower]: nearest=45, target=47, dist=0.98, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202452.465325568] [waypoint_follower]: nearest=45, target=47, dist=0.79, alpha=-0.04, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202453.518155904] [waypoint_follower]: nearest=46, target=48, dist=0.68, alpha=0.26, vx=0.25, yaw_rate=0.23, dir=1
[INFO] [0001202454.565681344] [waypoint_follower]: nearest=46, target=48, dist=0.49, alpha=-0.03, vx=0.25, yaw_rate=-0.03, dir=1
[INFO] [0001202455.615432032] [waypoint_follower]: nearest=48, target=50, dist=1.01, alpha=0.78, vx=0.12, yaw_rate=0.45, dir=1
[INFO] [0001202456.615456512] [waypoint_follower]: nearest=48, target=50, dist=0.97, alpha=0.33, vx=0.25, yaw_rate=0.30, dir=1
[INFO] [0001202457.665378304] [waypoint_follower]: nearest=49, target=51, dist=1.23, alpha=0.11, vx=0.25, yaw_rate=0.10, dir=1
[INFO] [0001202458.714998176] [waypoint_follower]: nearest=49, target=51, dist=1.10, alpha=0.04, vx=0.25, yaw_rate=0.04, dir=1
[INFO] [0001202459.715506400] [waypoint_follower]: nearest=49, target=51, dist=0.98, alpha=-0.05, vx=0.25, yaw_rate=-0.04, dir=1
[WARN] [0001202460.515363968] [waypoint_follower]: stuck recovery: nearest_index 49 -> 49
[INFO] [0001202460.715274112] [waypoint_follower]: nearest=49, target=51, dist=0.82, alpha=-0.02, vx=0.25, yaw_rate=-0.02, dir=1
[INFO] [0001202461.715237632] [waypoint_follower]: nearest=50, target=52, dist=1.15, alpha=0.08, vx=0.25, yaw_rate=0.07, dir=1
