[INFO] [1784534601.496442378] [route_recorder]: route_recorder started
[INFO] [1784534601.502405354] [route_recorder]: odom_topic: /Odometry
[INFO] [1784534601.507411520] [route_recorder]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/xbf0720-1.csv
[INFO] [1784534601.512486806] [route_recorder]: raw_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/raw/xbf0720-1.raw.csv
[WARN] [1784534654.560336950] [route_recorder]: ignored odometry jump: step=19.054m exceeds max_odom_step=0.300m
[WARN] [1784534654.670963700] [route_recorder]: ignored odometry jump: step=19.229m exceeds max_odom_step=0.300m
[WARN] [1784534654.772549559] [route_recorder]: ignored odometry jump: step=19.376m exceeds max_odom_step=0.300m
[WARN] [1784534654.885556380] [route_recorder]: ignored odometry jump: step=19.433m exceeds max_odom_step=0.300m
[WARN] [1784534655.006373947] [route_recorder]: ignored odometry jump: step=19.588m exceeds max_odom_step=0.300m
[WARN] [1784534655.092488717] [route_recorder]: ignored odometry jump: step=19.758m exceeds max_odom_step=0.300m
[WARN] [1784534655.187778795] [route_recorder]: ignored odometry jump: step=19.824m exceeds max_odom_step=0.300m
[WARN] [1784534655.378848201] [route_recorder]: ignored odometry jump: step=19.902m exceeds max_odom_step=0.300m
[WARN] [1784534655.532889946] [route_recorder]: ignored odometry jump: step=19.997m exceeds max_odom_step=0.300m
[WARN] [1784534655.597627502] [route_recorder]: ignored odometry jump: step=20.069m exceeds max_odom_step=0.300m
[WARN] [1784534655.660694095] [route_recorder]: ignored odometry jump: step=20.133m exceeds max_odom_step=0.300m
[WARN] [1784534655.804780054] [route_recorder]: ignored odometry jump: step=20.203m exceeds max_odom_step=0.300m
[WARN] [1784534655.960969403] [route_recorder]: ignored odometry jump: step=20.377m exceeds max_odom_step=0.300m
[WARN] [1784534656.196968596] [route_recorder]: ignored odometry jump: step=20.484m exceeds max_odom_step=0.300m
[WARN] [1784534656.446620577] [route_recorder]: ignored odometry jump: step=20.653m exceeds max_odom_step=0.300m
[WARN] [1784534656.493308257] [route_recorder]: ignored odometry jump: step=20.703m exceeds max_odom_step=0.300m
[WARN] [1784534656.611525471] [route_recorder]: ignored odometry jump: step=20.801m exceeds max_odom_step=0.300m
[WARN] [1784534656.759641883] [route_recorder]: ignored odometry jump: step=20.882m exceeds max_odom_step=0.300m
[WARN] [1784534656.905748704] [route_recorder]: ignored odometry jump: step=20.985m exceeds max_odom_step=0.300m
[WARN] [1784534657.021145611] [route_recorder]: ignored odometry jump: step=21.038m exceeds max_odom_step=0.300m
[WARN] [1784534657.221000356] [route_recorder]: ignored odometry jump: step=21.100m exceeds max_odom_step=0.300m
[WARN] [1784534657.581906370] [route_recorder]: ignored odometry jump: step=21.152m exceeds max_odom_step=0.300m
[WARN] [1784534657.717137507] [route_recorder]: ignored odometry jump: step=21.212m exceeds max_odom_step=0.300m
[WARN] [1784534657.862738664] [route_recorder]: ignored odometry jump: step=21.287m exceeds max_odom_step=0.300m
[WARN] [1784534658.140969747] [route_recorder]: ignored odometry jump: step=21.364m exceeds max_odom_step=0.300m
[WARN] [1784534658.317800505] [route_recorder]: ignored odometry jump: step=21.437m exceeds max_odom_step=0.300m
[WARN] [1784534658.432575995] [route_recorder]: ignored odometry jump: step=21.439m exceeds max_odom_step=0.300m
[WARN] [1784534658.515737622] [route_recorder]: ignored odometry jump: step=21.648m exceeds max_odom_step=0.300m
[WARN] [1784534658.604363187] [route_recorder]: ignored odometry jump: step=21.733m exceeds max_odom_step=0.300m
[WARN] [1784534658.692233113] [route_recorder]: ignored odometry jump: step=21.877m exceeds max_odom_step=0.300m
[WARN] [1784534658.794640406] [route_recorder]: ignored odometry jump: step=21.999m exceeds max_odom_step=0.300m
[WARN] [1784534658.891550249] [route_recorder]: ignored odometry jump: step=22.060m exceeds max_odom_step=0.300m
[WARN] [1784534658.983329596] [route_recorder]: ignored odometry jump: step=22.174m exceeds max_odom_step=0.300m
[WARN] [1784534659.079326648] [route_recorder]: ignored odometry jump: step=22.222m exceeds max_odom_step=0.300m
[WARN] [1784534659.175200995] [route_recorder]: ignored odometry jump: step=22.342m exceeds max_odom_step=0.300m
[WARN] [1784534659.263255264] [route_recorder]: ignored odometry jump: step=22.396m exceeds max_odom_step=0.300m
[WARN] [1784534659.354897668] [route_recorder]: ignored odometry jump: step=22.451m exceeds max_odom_step=0.300m
